,Name,Genres,Images_url,Popularity,URL,URI
0,jon-YAKITORY,['anime'],https://i.scdn.co/image/ab6761610000e5eb2c6777472c896b09927f9b39,50,https://open.spotify.com/artist/0XDvcwWavm2VcdiXwDKgvB,spotify:artist:0XDvcwWavm2VcdiXwDKgvB
1,Kanaria,['vocaloid'],https://i.scdn.co/image/ab67616d0000b2734465e20d27519e1b9dacf366,55,https://open.spotify.com/artist/1k5LyiTCRzPjORzcgHqJxF,spotify:artist:1k5LyiTCRzPjORzcgHqJxF
2,yama,"['j-pop', 'japanese teen pop']",https://i.scdn.co/image/ab6761610000e5eb25feb1ba3ec364ce810351a6,60,https://open.spotify.com/artist/7kOrrFIBIBc8uCu2zbxbLv,spotify:artist:7kOrrFIBIBc8uCu2zbxbLv
3,Ryokuoushoku Shakai,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebf4abdd5f688bb55f051781bc,60,https://open.spotify.com/artist/4SJ7qRgJYNXB9Yttzs4aSa,spotify:artist:4SJ7qRgJYNXB9Yttzs4aSa
4,ZUTOMAYO,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebb38a96d85b0580670123280e,61,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,spotify:artist:38WbKH6oKAZskBhqDFA8Uj
5,Creepy Nuts,['j-pop'],https://i.scdn.co/image/ab6761610000e5eb73e827c617cc3f1730cdb5d0,64,https://open.spotify.com/artist/0pWR7TsFhvSCnbmHDjWgrE,spotify:artist:0pWR7TsFhvSCnbmHDjWgrE
6,King Gnu,['j-pop'],https://i.scdn.co/image/ab6761610000e5eb7f34daf0448f63f37f9dc35d,69,https://open.spotify.com/artist/6wxfx1yhyqjCPYwwxJktR2,spotify:artist:6wxfx1yhyqjCPYwwxJktR2
7,P丸様｡,['japanese viral pop'],https://i.scdn.co/image/ab6761610000e5eb22bbf6743aecc9af7df0487f,50,https://open.spotify.com/artist/4hUWwJ0fRLx9rYtUvT26Ii,spotify:artist:4hUWwJ0fRLx9rYtUvT26Ii
8,Novelbright,"['j-pop', 'j-rock']",https://i.scdn.co/image/ab6761610000e5ebde256f194fc96cfb3c7a6e1a,61,https://open.spotify.com/artist/0jWCX6zp4RjWrmZRxJ2uri,spotify:artist:0jWCX6zp4RjWrmZRxJ2uri
9,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",https://i.scdn.co/image/ab6761610000e5eb968120b0312a7893ec391560,69,https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9
10,MAISONdes,"['j-pop', 'japanese teen pop']",https://i.scdn.co/image/ab6761610000e5eb4cff40e8e78eb88bb67fb9e1,52,https://open.spotify.com/artist/7LTiBdByoaUd329wCpmMcM,spotify:artist:7LTiBdByoaUd329wCpmMcM
11,milet,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebb4ce8229cce67758a9c7b920,61,https://open.spotify.com/artist/45ft4DyTCEJfQwTBHXpdhM,spotify:artist:45ft4DyTCEJfQwTBHXpdhM
12,池田智子 × TENDRE,['j-pop'],https://i.scdn.co/image/ab67616d0000b2737e5b27cdc049e30d4d0ec0bf,40,https://open.spotify.com/artist/3fakwzQVQaFb8QNhRNttmt,spotify:artist:3fakwzQVQaFb8QNhRNttmt
13,syudou,"['anime', 'vocaloid']",https://i.scdn.co/image/ab6761610000e5eb761329fe31301766144108d9,50,https://open.spotify.com/artist/43XkWaoCS0wKjuMJrWFgoa,spotify:artist:43XkWaoCS0wKjuMJrWFgoa
14,DECO*27,"['anime rock', 'j-pixie', 'vocaloid']",https://i.scdn.co/image/ab6761610000e5ebe18756b9265f7b53964157f2,58,https://open.spotify.com/artist/7kZTWx6cRLc0TSRPq1XBMP,spotify:artist:7kZTWx6cRLc0TSRPq1XBMP
15,すりぃ,['vocaloid'],https://i.scdn.co/image/ab6761610000e5eb04f761abaaf5c1ce67893e63,47,https://open.spotify.com/artist/29XdcKZcwr9ikcmxud5UEa,spotify:artist:29XdcKZcwr9ikcmxud5UEa
16,Yuuri,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",https://i.scdn.co/image/ab6761610000e5ebd24b965b4a11c054c6d4edff,68,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W
17,[Alexandros],"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock']",https://i.scdn.co/image/ab6761610000e5ebe8b46186590ce35727e022ab,58,https://open.spotify.com/artist/1luOe8HkZQ7zwuaO2wuJqI,spotify:artist:1luOe8HkZQ7zwuaO2wuJqI
18,WANIMA,"['j-pop', 'j-punk', 'j-rock', 'japanese pop punk', 'japanese punk rock']",https://i.scdn.co/image/ab6761610000e5eba381402e03e122139450e338,60,https://open.spotify.com/artist/6YqdtpUutxodni6lUD4stM,spotify:artist:6YqdtpUutxodni6lUD4stM
19,ヨルシカ,['j-pop'],https://i.scdn.co/image/ab6761610000e5ebe62cff9c6018ae5616b01eab,65,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,spotify:artist:4UK2Lzi6fBfUi9rpDt6cik
